Arese,Studio Panacea ESEGUIAMO TEST SIEROLOGICI COVID 19
Arese,ORTOPEDICA SALUS
Assago,Stannah Montascale Srl
Besana in Brianza,Mas Ascensori
Bresso,Ortopedia Agazzi
Busto Arsizio,SOCIETA' ELEVATORI BUSTO
Busto Arsizio,Ortopedia Grassini
Busto Arsizio,Centro Ortopedico Universo
Casatenovo,Ortopedia A. Pessina
Cogliate,Balzarotti Ascensori S.r.l.
Colico,Sanital Di Canclini Enrico E C. - S.N.C
Como,Media Reha Gruppo - Ortesia - Pronto Reha 
Como,Service Lift
Como,Orthopedics Lariana Di Piras Francesca
Filago,Panseri Ascensori Srl
Gallarate,Top Level Ascensori Srl
Garbagnate Milanese, L.O.S. Laboratorio Ortopedico Senago Di Lubello Alessandro E Lubello Cristian E C. S.A.S.
Garbagnate Milanese,Sanitaria e Ottica delle Groane – Ortopedia
Gorgonzola,Ortopedia Mazzoleni
Inveruno,Stannah Point  Sanitaria di Cavallari Rita
Inzago,Fumagalli Elevatori
Lainate,Garaventa Lift
Lazzate,Balzarotti B.M.A. - Ascensori
Lissone,Cam 2 Ascensori
Magenta,Centro Podologico Magenta
Melegnano,Stannah Point  Ortopedia La Sanitaria di Curti Gerolamo  C. Sas
Milano,Euroelevator
Milano,Ortopedia Subema S.R.L.
Milano,Ortopedia Badegnani s.r.l
Milano,The Carrozzineria Ltd
Milano,Centro Ortopedico Universo Milano
Milano,Ortopedia Subema S.R.L.
Milano,Media Reha Gruppo - Ortesia - Pronto Reha – Milano
Milano,Ortopedia sanitaria Salute Store
Milano,Stannah Montascale Srl
Milano,Ortopedia Sanitaria Podologia Rensi
Milano,Ortopedia Warner
Milano,Ortopedie Baldinelli
Milano,sa.ni.sanitaria niguarda
Milano,Quarta Eta'
Monza,Stannah Point  Nuova Iride
Monza,Stannah Point Ortopedia Sanitari Colombo
Monza,Ortopedica Centro Protesi Monza Srl
Novara,Officina Ortopedica Mecca S.r.l.
Novara,Stannah Point  Officina Ortopedica Mecca
Novara,Stannah Point Ortopedia Novarese
Novara,Punto Salute S.A.S. Di Mantegazza Giulia E C.
Osio Sotto,Gruppo Humantech - Ortopedia Burini - Osio Sotto
Paderno Dugnano,C.M.T. S.n.c. - Crea Ascensori
Peschiera Borromeo,Fem Elevatori
Rescaldina, L.A.M. Lombarda Ascensori Montacarichi
Rho,Ortopedia Subema S.R.L.
San Donato Milanese,Stella Sanitaria di Leone Raffaela e di Palma Antonella S. N. C.
Saronno,Ortopedia Licia
Saronno,Ortopedia Saronnese
Sesto San Giovanni,Centro Ortopedico Sestese di Gioeli
Settimo Milanese,ORTOMEDICA-Negozio ortopedia
Solbiate Olona,Ortopedia Grassini
Tradate,Stannah Point Ortopedia Sanitari Colombo
Tradate,Ortopedia Sanity Center Sas
Varedo,Ortopedia Varedese
Varzi,Ortopedia Desimoni
Verano Brianza,SERVISAN
Villasanta,Brima Ascensori S.R.L.
Vimercate,Lortopedica
